department_id,department_name,department_code,year,average_performance_score,total_revenue_generated,total_cost,training_hours_completed
1,Finance Department,FIN,2021,3.56,3716375,2572212,1206
2,Finance Department,FIN,2022,3.79,3878773,2448393,840
3,Finance Department,FIN,2023,3.48,4041171,2506538,363
4,Finance Department,FIN,2024,4.99,4203570,2832724,2081
5,Finance Department,FIN,2025,4.13,4365968,2512136,2788
6,Operations Department,OPS,2021,3.07,2488449,1807283,702
7,Operations Department,OPS,2022,3.48,2747180,2056045,2433
8,Operations Department,OPS,2023,4.56,3005911,1529673,887
9,Operations Department,OPS,2024,4.92,3264642,1892219,2376
10,Operations Department,OPS,2025,3.84,3523373,2179098,1431
11,Data and Analytics Department,DAT,2021,3.52,831510,503513,2259
12,Data and Analytics Department,DAT,2022,3.15,930263,538298,306
13,Data and Analytics Department,DAT,2023,4.81,1029017,530397,307
14,Data and Analytics Department,DAT,2024,3.42,1127771,740953,1038
15,Data and Analytics Department,DAT,2025,4.01,1226524,855814,839
16,Engineering Department,ENG,2021,3.45,2617677,2020994,1082
17,Engineering Department,ENG,2022,3.78,2818702,1837686,1280
18,Engineering Department,ENG,2023,3.4,3019728,1773250,426
19,Engineering Department,ENG,2024,3.76,3220754,2193710,1776
20,Engineering Department,ENG,2025,3.43,3421780,2081007,1102
21,Product Management Department,PRD,2021,3.79,2112327,1409643,2296
22,Product Management Department,PRD,2022,3.37,2329136,1619924,875
23,Product Management Department,PRD,2023,3.16,2545945,1375689,1262
24,Product Management Department,PRD,2024,4.46,2762755,2168296,2823
25,Product Management Department,PRD,2025,3.27,2979564,2131170,2636
26,Customer Support Department,CST,2021,4.22,1659976,842769,317
27,Customer Support Department,CST,2022,3.06,1709834,891423,1085
28,Customer Support Department,CST,2023,3.91,1759693,929547,778
29,Customer Support Department,CST,2024,4.79,1809552,1171148,1793
30,Customer Support Department,CST,2025,3.91,1859410,1349308,1464
31,Human Resources Department,HR,2021,4.15,3234633,1893763,1269
32,Human Resources Department,HR,2022,4.84,3375569,1858426,2902
33,Human Resources Department,HR,2023,4.07,3516505,2004297,944
34,Human Resources Department,HR,2024,3.68,3657441,1837080,699
35,Human Resources Department,HR,2025,3.16,3798378,2169712,401
36,Marketing Department,MKT,2021,4.01,1632536,953822,1025
37,Marketing Department,MKT,2022,3.52,1764618,1362282,2867
38,Marketing Department,MKT,2023,3.1,1896700,1459149,2948
39,Marketing Department,MKT,2024,3.66,2028782,1274443,1635
40,Marketing Department,MKT,2025,3.22,2160865,1397211,748
