Education Record_id,Employee_id,Institution Country,Education Level,institution_name,degree_title,field_of_study,graduation_date
1,1,Ghana,Master's Degree,Accra Technical University,MSc,Business Administration,2026-06-30
2,2,United Kingdom,Master's Degree,University of London,MBA,Data Analytics,2003-06-30
3,3,Ghana,Bachelor's Degree,Accra Technical University,BSc,Engineering,1996-06-30
4,4,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Information Technology,2001-06-30
5,5,Ghana,Master's Degree,Ashesi University,MBA,Business Administration,2024-06-30
6,6,Ghana,Bachelor's Degree,University of Ghana,BSc,Computer Science,2012-06-30
7,7,Ghana,Master's Degree,University of Cape Coast,MA,Business Administration,2003-06-30
8,8,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Computer Science,2002-06-30
9,9,Ghana,Master's Degree,University of Ghana,MSc,Computer Science,2011-06-30
10,10,Ghana,Diploma,Ashesi University,HND,Business Administration,2016-06-30
11,11,Ghana,Bachelor's Degree,Ashesi University,BSc,Business Administration,2024-06-30
12,12,Ghana,Bachelor's Degree,Accra Technical University,BSc,Information Technology,2023-06-30
13,13,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MPhil,Engineering,2002-06-30
14,14,South Africa,Bachelor's Degree,University of Cape Town,BSc,Computer Science,2013-06-30
15,15,Ghana,Doctoral Degree,Ghana Institute of Management and Public Administration,PhD,Information Technology,2004-06-30
16,16,Ghana,Master's Degree,Accra Technical University,MPhil,Computer Science,2009-06-30
17,17,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Information Technology,2005-06-30
18,18,Ghana,Diploma,Ashesi University,HND,Business Administration,2007-06-30
19,19,Ghana,Bachelor's Degree,Accra Technical University,BSc,Data Analytics,2009-06-30
20,20,Ghana,Doctoral Degree,University of Ghana,PhD,Business Administration,1993-06-30
21,21,Ghana,Master's Degree,Accra Technical University,MSc,Business Administration,2002-06-30
22,22,United Kingdom,Diploma,University of London,HND,Engineering,2006-06-30
23,23,Ghana,Doctoral Degree,University of Cape Coast,PhD,Business Administration,1988-06-30
24,24,United States,Doctoral Degree,Massachusetts Institute of Technology,PhD,Data Analytics,2012-06-30
25,25,Ghana,Bachelor's Degree,University of Ghana,BSc,Economics,1998-06-30
26,26,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MSc,Data Analytics,2025-06-30
27,27,Ghana,Master's Degree,Ashesi University,MSc,Data Analytics,2014-06-30
28,28,United Kingdom,Master's Degree,University of London,MSc,Business Administration,2025-06-30
29,29,Ghana,Master's Degree,Ashesi University,MSc,Business Administration,2006-06-30
30,30,Ghana,Master's Degree,University of Ghana,MPhil,Engineering,2004-06-30
31,31,Ghana,Master's Degree,Ashesi University,MPhil,Computer Science,2025-06-30
32,32,South Africa,Master's Degree,University of Cape Town,MSc,Business Administration,1992-06-30
33,33,Ghana,Bachelor's Degree,University of Cape Coast,BSc,Economics,2026-06-30
34,34,United Kingdom,Master's Degree,University of London,MSc,Computer Science,2004-06-30
35,35,Ghana,Diploma,Ghana Institute of Management and Public Administration,HND,Economics,1995-06-30
36,36,Ghana,Master's Degree,Ghana Institute of Management and Public Administration,MPhil,Engineering,2018-06-30
37,37,Ghana,Master's Degree,University of Cape Coast,MSc,Business Administration,2011-06-30
38,38,Ghana,Bachelor's Degree,Accra Technical University,BA,Business Administration,2004-06-30
39,39,Ghana,Diploma,Accra Technical University,HND,Computer Science,2001-06-30
40,40,Ghana,Doctoral Degree,Accra Technical University,PhD,Economics,2017-06-30
41,41,Ghana,Doctoral Degree,University of Cape Coast,PhD,Computer Science,2004-06-30
42,42,Ghana,Diploma,University of Ghana,HND,Business Administration,2025-06-30
43,43,Ghana,Master's Degree,University of Ghana,MBA,Data Analytics,2019-06-30
44,44,Ghana,Doctoral Degree,Accra Technical University,PhD,Business Administration,2007-06-30
45,45,Ghana,Diploma,Ashesi University,HND,Computer Science,2025-06-30
46,46,Ghana,Bachelor's Degree,Ghana Institute of Management and Public Administration,BSc,Information Technology,2020-06-30
