employee_id,year,performance_score,projects_completed,training_hours,attendance_rate ,bonus_awarded
1,2021,2.87,1,88,85.66,No
1,2022,3.17,5,76,95.67,Yes
1,2023,3.01,2,78,86.23,Yes
1,2024,3.19,8,68,86.28,No
1,2025,3.24,7,83,89.71,No
2,2021,3.59,9,76,91.11,Yes
2,2022,3.64,5,67,93.14,Yes
2,2023,3.47,7,67,95.18,Yes
2,2024,3.41,1,67,87.05,No
2,2025,3.76,4,64,97.9,No
3,2021,2.37,3,50,89.02,Yes
3,2022,2.55,5,63,94.98,No
3,2023,2.65,2,70,90.57,Yes
3,2024,2.92,4,57,97.39,Yes
3,2025,3.03,1,64,95.08,Yes
4,2021,3.59,6,65,89.55,Yes
4,2022,3.58,6,70,88.14,No
4,2023,3.76,7,49,90.5,No
4,2024,3.85,10,46,95.28,Yes
4,2025,3.35,1,54,92.65,Yes
5,2021,4.69,10,25,90.61,No
5,2022,4.26,10,46,87.21,Yes
5,2023,4.22,2,27,86.29,No
5,2024,4.78,9,24,85.88,No
5,2025,4.46,9,26,97.92,Yes
6,2021,3.14,6,46,87.18,No
6,2022,3.14,8,63,88.3,Yes
6,2023,2.95,4,46,94.63,Yes
6,2024,3.18,3,76,92.02,No
6,2025,2.89,5,49,91.93,Yes
7,2021,4.51,7,29,97.81,No
7,2022,4.5,7,27,88.03,No
7,2023,4.73,1,31,85.76,Yes
7,2024,4.38,3,15,88.15,No
7,2025,4.24,8,41,98.3,Yes
8,2021,4.64,1,46,94.5,No
8,2022,4.39,6,33,95.75,Yes
8,2023,4.14,1,29,89.84,Yes
8,2024,4.83,2,46,89.76,Yes
8,2025,4.09,2,38,93.33,No
9,2021,3.13,9,45,96.38,Yes
9,2022,2.75,1,52,86.42,Yes
9,2023,3.36,8,61,92.02,No
9,2024,2.67,3,34,95.93,Yes
9,2025,2.78,5,46,93.61,Yes
10,2021,2.22,1,39,95.24,No
10,2022,2.36,1,29,99.59,No
10,2023,2.56,7,22,93.99,Yes
10,2024,2.94,5,34,99.2,No
10,2025,2.8,1,23,87.1,No
11,2021,4.74,3,56,90.96,No
11,2022,4.91,6,27,92.5,No
11,2023,4.85,2,36,99.86,Yes
11,2024,4.83,5,27,94.5,No
11,2025,4.39,3,44,92.91,No
12,2021,3.67,7,49,96.09,Yes
12,2022,3.82,5,63,88.96,No
12,2023,4.16,5,44,91.87,Yes
12,2024,3.99,5,48,97.35,No
12,2025,3.97,10,43,89.37,No
13,2021,3.13,7,54,91.46,No
13,2022,3.13,3,46,96.36,Yes
13,2023,2.47,10,35,90.74,No
13,2024,2.46,7,39,94.9,Yes
13,2025,2.86,7,54,85.25,Yes
14,2021,3.43,1,71,89.05,Yes
14,2022,3.23,10,86,91.67,No
14,2023,3.22,8,87,90.75,No
14,2024,3.07,5,84,90.95,Yes
14,2025,2.81,9,72,98.6,Yes
15,2021,3.79,5,37,97.95,Yes
15,2022,3.83,4,33,91.55,No
15,2023,4.14,3,51,90.48,No
15,2024,4.14,1,42,89.83,No
15,2025,3.93,10,52,98.53,Yes
16,2021,3.22,7,59,95.98,Yes
16,2022,2.58,6,69,88.37,No
16,2023,2.82,2,58,95.99,Yes
16,2024,3.14,2,69,92.74,Yes
16,2025,3.02,1,68,98.37,No
17,2021,2.9,5,34,85.06,Yes
17,2022,3.21,6,21,98.31,No
17,2023,3.33,4,34,88.02,Yes
17,2024,3,7,37,85.86,Yes
17,2025,3.29,6,11,91.93,Yes
18,2021,4.32,7,13,94.38,Yes
18,2022,3.92,4,31,93.01,Yes
18,2023,4.22,4,37,95.38,Yes
18,2024,4.33,5,16,96.97,No
18,2025,4.38,10,35,90.73,No
19,2021,4.15,2,71,87.07,No
19,2022,4.75,1,59,91.31,No
19,2023,4.88,8,49,86.31,Yes
19,2024,4.22,9,56,93.69,No
19,2025,4.69,2,52,98.23,Yes
20,2021,3.28,5,46,97.63,Yes
20,2022,2.97,7,38,86.41,No
20,2023,3.48,8,46,88.48,Yes
20,2024,2.98,8,21,96.66,No
20,2025,3.2,8,19,93.37,No
21,2021,2.56,10,48,90.63,No
21,2022,2.69,2,47,87.59,No
21,2023,2.88,9,57,99.92,No
21,2024,2.93,8,46,89.81,No
21,2025,2.89,9,33,93.75,Yes
22,2021,4.31,1,68,96.49,No
22,2022,4.02,5,66,85.88,No
22,2023,3.72,3,74,96.06,No
22,2024,4.24,6,59,88.82,No
22,2025,4.34,1,58,86.74,No
23,2021,4.18,5,79,91.4,No
23,2022,3.87,5,66,91.72,No
23,2023,3.96,6,76,85.99,Yes
23,2024,4.3,3,82,93.36,No
23,2025,3.64,3,65,95.38,Yes
24,2021,2.96,2,23,93.3,Yes
24,2022,2.94,3,41,94.8,No
24,2023,2.64,7,22,93.05,Yes
24,2024,2.52,4,25,91.45,No
24,2025,2.75,8,51,93.1,No
25,2021,3.76,4,66,85.86,No
25,2022,3.3,6,72,99.99,No
25,2023,3.52,7,57,98.32,No
25,2024,3.31,4,64,89.32,No
25,2025,3.46,8,58,90.22,No
26,2021,4.04,6,28,86.03,No
26,2022,4.17,8,14,97.49,No
26,2023,3.64,8,23,91.21,No
26,2024,3.72,1,22,95.38,No
26,2025,3.77,3,42,96.03,Yes
27,2021,4.1,10,85,97.37,No
27,2022,4.41,9,93,92.38,No
27,2023,4.69,9,81,95.61,No
27,2024,4.83,5,82,94.23,No
27,2025,4.68,6,88,91.25,No
28,2021,3.85,7,27,87.76,Yes
28,2022,3.38,9,33,85.24,Yes
28,2023,4.05,6,37,98.23,No
28,2024,3.59,9,39,88.98,No
28,2025,3.9,1,15,88.76,No
29,2021,4.45,6,40,94.92,No
29,2022,4.12,6,23,89.99,No
29,2023,4.42,3,38,92.14,Yes
29,2024,4.48,4,20,85.27,No
29,2025,4.6,8,30,88.88,No
30,2021,3.56,4,96,92.22,Yes
30,2022,3.77,7,75,85.1,Yes
30,2023,3.93,2,74,96.21,No
30,2024,3.65,3,78,89.86,No
30,2025,3.94,6,79,85.03,Yes
31,2021,4.61,4,42,92.38,Yes
31,2022,4.4,2,56,85.12,Yes
31,2023,4.48,8,71,92.63,Yes
31,2024,4.21,3,63,94.68,No
31,2025,4.38,5,67,96.03,Yes
32,2021,3.18,2,47,87.88,Yes
32,2022,3.18,10,47,94.94,No
32,2023,3.07,6,37,86.28,Yes
32,2024,3.24,6,49,91.7,No
32,2025,3.3,9,31,98.79,Yes
33,2021,2.82,2,45,91.92,No
33,2022,2.57,8,50,98.03,No
33,2023,2.98,1,29,96.43,No
33,2024,2.77,3,25,90.66,Yes
33,2025,2.69,8,40,94.2,No
34,2021,3.82,6,40,85.16,Yes
34,2022,3.57,1,61,90.04,No
34,2023,4.04,5,61,92.79,Yes
34,2024,3.74,9,54,95.57,No
34,2025,3.99,10,47,96.6,Yes
35,2021,3.47,4,71,95.32,No
35,2022,3.68,3,47,88.14,Yes
35,2023,3.93,4,50,89.83,Yes
35,2024,3.67,7,54,93.37,No
35,2025,3.89,1,71,94.22,No
36,2021,2.26,7,74,98.77,No
36,2022,2.38,2,72,96.97,Yes
36,2023,2.54,9,45,94.36,No
36,2024,2.57,8,67,93.28,No
36,2025,2.8,6,63,86.73,Yes
37,2021,3.37,10,69,88.5,Yes
37,2022,4.04,7,94,85.67,No
37,2023,3.93,8,85,97.85,Yes
37,2024,3.6,4,82,90.06,No
37,2025,4.06,4,73,97.19,No
38,2021,3.73,2,79,89.96,No
38,2022,3.21,10,80,97.95,Yes
38,2023,3.33,9,64,95.73,No
38,2024,3.61,6,71,86.92,Yes
38,2025,3.08,10,72,85.56,Yes
39,2021,4.07,2,47,97.34,Yes
39,2022,4.13,8,38,98.78,No
39,2023,3.95,2,48,88.79,Yes
39,2024,3.78,4,59,86.93,No
39,2025,4.33,5,54,86.09,No
40,2021,3.37,9,69,89.97,Yes
40,2022,2.91,2,64,96.86,No
40,2023,2.73,1,92,93.64,No
40,2024,3.33,2,67,95.69,No
40,2025,3.37,10,68,88.99,Yes
41,2021,4.35,4,71,95,Yes
41,2022,4.65,1,89,91.32,No
41,2023,4.33,1,81,91.37,No
41,2024,4.69,9,76,88.82,No
41,2025,4.65,2,79,93.38,No
42,2021,4.22,2,33,87.46,Yes
42,2022,4.21,2,47,95.4,No
42,2023,4.43,9,34,97.1,No
42,2024,4.62,4,37,97.21,No
42,2025,4.23,1,54,92.13,Yes
43,2021,3.83,8,70,88.09,No
43,2022,4.04,3,79,90.07,No
43,2023,4.05,1,92,86.01,No
43,2024,3.65,7,96,98.82,Yes
43,2025,3.66,4,90,97.41,Yes
44,2021,4.06,1,46,85.33,Yes
44,2022,4.46,5,47,86.29,No
44,2023,4.38,1,52,90.89,No
44,2024,3.96,2,39,92.4,No
44,2025,4.06,7,48,90.98,No
45,2021,4.55,3,79,86.43,Yes
45,2022,4.61,10,71,95.79,Yes
45,2023,4.23,2,81,89.59,No
45,2024,4.55,6,81,94.28,Yes
45,2025,4.86,7,77,96.07,Yes
46,2021,4.31,6,52,86.94,Yes
46,2022,4.25,5,50,98.11,Yes
46,2023,4.14,10,40,85.95,Yes
46,2024,4.15,2,54,85.95,Yes
46,2025,4.5,1,50,95.07,No
47,2021,2.85,9,59,92.78,No
47,2022,2.89,1,62,94.81,No
47,2023,3.42,8,63,99.1,Yes
47,2024,2.75,5,75,95.66,No
47,2025,2.68,3,73,93.03,No
48,2021,2.48,9,10,86.26,No
48,2022,2.55,7,19,97.13,Yes
48,2023,2.56,2,20,92.37,Yes
48,2024,2.24,2,17,92.48,No
48,2025,2.97,7,11,98.6,No
49,2021,4.53,3,43,92.6,Yes
49,2022,4.36,5,23,96.9,Yes
49,2023,4.09,9,40,96.64,No
49,2024,4.29,1,27,90.82,No
49,2025,4.19,8,29,89.2,No
50,2021,3.09,9,64,94.41,No
50,2022,3.17,4,83,87.47,No
50,2023,2.92,9,71,94.48,Yes
50,2024,2.99,5,75,96.62,Yes
50,2025,2.86,6,77,93.66,Yes
51,2021,4.73,10,42,97.29,Yes
51,2022,4.33,2,40,89.55,No
51,2023,4.71,9,23,94.43,No
51,2024,4.94,3,35,85.99,Yes
51,2025,4.92,1,27,95.03,No
52,2021,3.53,10,69,88.67,No
52,2022,3.58,8,96,88.87,No
52,2023,3.34,6,92,91.67,Yes
52,2024,3.64,2,75,99.85,Yes
52,2025,3.33,9,90,85.76,No
53,2021,4.62,8,75,87.64,No
53,2022,4.04,2,59,95.21,No
53,2023,4.4,3,82,90.97,No
53,2024,4.08,5,87,86.98,No
53,2025,4.29,5,82,93.23,No
54,2021,4.35,7,29,89.61,Yes
54,2022,4.8,6,29,96.1,No
54,2023,4.43,5,32,88.94,Yes
54,2024,4.81,6,41,95.96,No
54,2025,4.23,7,54,90.36,No
55,2021,2.31,10,33,88.18,No
55,2022,2.85,4,56,96.6,No
55,2023,2.55,3,31,98.79,Yes
55,2024,2.89,8,30,93.98,Yes
55,2025,2.93,5,49,98.26,No
56,2021,2.71,4,15,98.45,No
56,2022,2.94,4,37,86.66,No
56,2023,3.22,3,27,98.71,Yes
56,2024,3.1,4,29,94.81,No
56,2025,2.65,7,27,99.67,No
57,2021,3.7,6,50,93.15,Yes
57,2022,3.46,10,52,93.78,No
57,2023,3.01,2,66,92.65,No
57,2024,3.18,8,64,99.98,Yes
57,2025,3.22,4,62,89.8,No
58,2021,4.71,6,62,94.35,No
58,2022,4.21,2,44,88.34,Yes
58,2023,4.32,2,49,98.47,No
58,2024,4.31,4,53,87.59,No
58,2025,4.36,9,65,92.84,Yes
59,2021,4.12,7,79,89.08,Yes
59,2022,4.28,10,68,97.84,Yes
59,2023,4.26,6,90,97.44,No
59,2024,4.36,7,85,89.99,No
59,2025,4.84,1,77,93.48,Yes
60,2021,3.92,6,67,85.12,No
60,2022,3.88,3,71,90.02,No
60,2023,3.81,10,76,95.79,Yes
60,2024,3.75,3,67,92.31,No
60,2025,3.32,3,83,86.8,Yes
61,2021,3.61,8,44,89.59,No
61,2022,3.57,2,51,87.52,No
61,2023,3.52,1,46,95.55,Yes
61,2024,3.15,9,55,99.63,Yes
61,2025,3.26,2,52,91.39,Yes
62,2021,3.82,1,86,85.21,No
62,2022,3.88,9,69,88.26,No
62,2023,3.15,1,93,90.36,Yes
62,2024,3.69,9,79,95,No
62,2025,3.38,9,78,87.09,Yes
63,2021,2.26,8,25,96.52,No
63,2022,2.32,9,49,87.19,No
63,2023,2.28,7,45,85.11,Yes
63,2024,2.93,1,28,96.02,Yes
63,2025,2.95,3,53,96.68,No
64,2021,3.94,9,39,89.17,No
64,2022,3.8,5,39,86.71,Yes
64,2023,3.99,6,45,96.77,Yes
64,2024,3.89,8,22,89.92,No
64,2025,3.97,7,21,99.87,Yes
65,2021,3.6,4,40,90.39,Yes
65,2022,3.7,8,38,97.3,No
65,2023,3.16,5,47,95.87,No
65,2024,3.11,4,35,92.25,Yes
65,2025,3.28,3,53,92.55,Yes
66,2021,4.52,6,45,97.91,Yes
66,2022,4.19,9,59,97.68,No
66,2023,4.58,10,56,99.43,Yes
66,2024,4.41,7,57,85.5,No
66,2025,4.7,5,56,88.92,No
67,2021,3.98,2,61,91.06,No
67,2022,3.78,7,61,98.67,Yes
67,2023,3.6,1,44,92.6,Yes
67,2024,3.64,2,33,85.87,No
67,2025,4.2,1,56,86.23,Yes
68,2021,4.01,2,14,85.39,Yes
68,2022,3.94,1,31,92.1,No
68,2023,3.9,8,34,86.83,Yes
68,2024,4.12,6,30,97.43,No
68,2025,4.26,4,24,97.88,No
69,2021,3.67,5,46,99.98,No
69,2022,3.73,2,66,91.75,No
69,2023,4,3,69,88.1,Yes
69,2024,3.98,1,67,93.32,Yes
69,2025,4.09,1,51,91.4,Yes
70,2021,2.96,3,42,87.6,Yes
70,2022,2.68,1,23,87.36,Yes
70,2023,2.6,1,42,96.95,Yes
70,2024,2.74,1,31,94.57,Yes
70,2025,3.38,3,25,97.97,Yes
71,2021,2.83,5,63,86.49,Yes
71,2022,3.5,1,80,91.44,No
71,2023,3.28,3,79,86.59,No
71,2024,2.96,7,64,93.78,Yes
71,2025,3.34,3,66,94.26,Yes
72,2021,4.34,1,38,89.63,Yes
72,2022,4.62,5,53,95.61,Yes
72,2023,4.45,4,64,97.82,No
72,2024,4.5,4,65,85.51,No
72,2025,4.11,2,47,96.53,Yes
73,2021,4.07,3,72,97.88,No
73,2022,4.19,6,67,96.71,Yes
73,2023,4.24,5,57,87.48,No
73,2024,4,8,52,88.67,Yes
