department,position,education_level,field_of_study,employees,avg_basic_salary,avg_total_compensation
"Operations Department",Executive,"Master's Degree","Business Administration",81,9135.83,10736.04
"Customer Support Department",Analyst,"Bachelor's Degree","Business Administration",77,9466.70,10947.53
"Operations Department",Manager,"Bachelor's Degree","Business Administration",77,9053.14,10554.42
"Customer Support Department",Developer,"Master's Degree","Business Administration",76,9679.28,11421.00
"Finance Department",Developer,"Bachelor's Degree","Business Administration",75,7924.05,9617.89
"Data and Analytics Department",Developer,"Master's Degree","Business Administration",73,9242.15,11020.34
"Data and Analytics Department",Analyst,"Bachelor's Degree","Business Administration",73,9315.36,10981.27
"Human Resources Department",Analyst,"Bachelor's Degree","Business Administration",73,9008.73,10620.73
"Data and Analytics Department",Executive,"Bachelor's Degree","Business Administration",72,9119.72,10842.79
"Data and Analytics Department",Consultant,"Bachelor's Degree","Business Administration",72,8830.22,10526.18
"Customer Support Department",Consultant,"Master's Degree","Business Administration",71,9153.77,10841.18
"Data and Analytics Department",Executive,"Master's Degree","Business Administration",71,8127.69,9744.82
"Customer Support Department",Executive,"Master's Degree","Business Administration",69,8518.70,10240.81
"Marketing Department",Developer,"Master's Degree","Business Administration",69,8594.72,10228.99
"Operations Department",Developer,"Master's Degree","Business Administration",69,8593.03,10179.46
"Engineering Department",Consultant,"Master's Degree","Business Administration",69,8193.07,9804.65
"Operations Department",Analyst,"Master's Degree","Business Administration",68,8727.60,10365.62
"Product Management Department",Developer,"Master's Degree","Business Administration",68,8514.49,10171.37
"Product Management Department",Consultant,"Bachelor's Degree","Business Administration",67,8317.97,9973.66
"Data and Analytics Department",Manager,"Master's Degree","Business Administration",67,8169.06,9919.48
"Human Resources Department",Analyst,"Master's Degree","Business Administration",67,7963.37,9497.99
"Finance Department",Executive,"Master's Degree","Business Administration",66,8644.58,10437.15
"Data and Analytics Department",Analyst,"Master's Degree","Business Administration",65,9291.97,10991.38
"Human Resources Department",Executive,"Master's Degree","Business Administration",65,8469.05,10234.18
"Engineering Department",Manager,"Bachelor's Degree","Business Administration",65,7712.18,9342.86
"Human Resources Department",Assistant,"Bachelor's Degree","Business Administration",64,9414.80,11129.33
"Engineering Department",Developer,"Master's Degree","Business Administration",64,9197.47,10874.00
"Finance Department",Analyst,"Master's Degree","Business Administration",64,8969.80,10668.11
"Operations Department",Developer,"Bachelor's Degree","Business Administration",64,8956.88,10520.44
"Operations Department",Manager,"Master's Degree","Business Administration",64,8595.02,10452.14
"Product Management Department",Executive,"Master's Degree","Business Administration",64,8610.27,10063.66
"Engineering Department",Executive,"Master's Degree","Business Administration",64,8261.67,9765.19
"Marketing Department",Consultant,"Bachelor's Degree","Business Administration",64,8212.50,9744.89
"Finance Department",Assistant,"Bachelor's Degree","Business Administration",63,8874.13,10631.32
"Customer Support Department",Assistant,"Bachelor's Degree","Business Administration",63,8584.05,10211.21
"Human Resources Department",Assistant,"Master's Degree","Business Administration",63,8043.68,9570.68
"Human Resources Department",Developer,"Master's Degree","Business Administration",62,9249.97,10788.18
"Finance Department",Developer,"Master's Degree","Business Administration",62,8888.06,10579.32
"Engineering Department",Developer,"Bachelor's Degree","Business Administration",62,8547.71,10473.48
"Finance Department",Consultant,"Master's Degree","Business Administration",62,8695.48,10352.21
"Engineering Department",Assistant,"Bachelor's Degree","Business Administration",62,8586.90,10287.21
"Marketing Department",Analyst,"Master's Degree","Business Administration",62,8598.27,10219.21
"Human Resources Department",Consultant,"Master's Degree","Business Administration",62,8636.65,10112.79
"Marketing Department",Executive,"Master's Degree","Business Administration",62,8354.05,9819.76
"Product Management Department",Assistant,"Master's Degree","Business Administration",61,9001.41,10686.62
"Marketing Department",Manager,"Bachelor's Degree","Business Administration",61,8598.64,10092.00
"Marketing Department",Developer,"Bachelor's Degree","Business Administration",61,8549.89,10088.92
"Finance Department",Assistant,"Master's Degree","Business Administration",61,8386.21,10087.31
"Data and Analytics Department",Developer,"Bachelor's Degree","Business Administration",61,8136.20,9717.52
"Data and Analytics Department",Assistant,"Master's Degree","Business Administration",60,8590.58,10327.40
"Operations Department",Consultant,"Master's Degree","Business Administration",60,8364.85,9888.90
"Finance Department",Manager,"Master's Degree","Business Administration",59,9184.68,11007.76
"Product Management Department",Manager,"Bachelor's Degree","Business Administration",59,9050.81,10830.73
"Customer Support Department",Analyst,"Master's Degree","Business Administration",59,9096.24,10821.12
"Human Resources Department",Consultant,"Bachelor's Degree","Business Administration",59,8873.71,10632.05
"Engineering Department",Analyst,"Master's Degree","Business Administration",59,8558.90,10140.53
"Marketing Department",Consultant,"Master's Degree","Business Administration",58,9245.16,10918.48
"Marketing Department",Analyst,"Bachelor's Degree","Business Administration",58,9171.98,10817.29
"Product Management Department",Executive,"Bachelor's Degree","Business Administration",58,9161.45,10791.76
"Customer Support Department",Manager,"Bachelor's Degree","Business Administration",58,8805.26,10458.95
"Product Management Department",Manager,"Master's Degree","Business Administration",58,8820.40,10154.84
"Marketing Department",Assistant,"Master's Degree","Business Administration",58,8479.33,10103.00
"Operations Department",Assistant,"Master's Degree","Business Administration",58,8267.66,10036.69
"Customer Support Department",Developer,"Bachelor's Degree","Business Administration",58,8250.98,9819.59
"Human Resources Department",Manager,"Master's Degree","Business Administration",57,9531.81,11281.30
"Data and Analytics Department",Manager,"Bachelor's Degree","Business Administration",57,9025.40,10710.82
"Product Management Department",Developer,"Bachelor's Degree","Business Administration",57,8303.81,9872.14
"Finance Department",Executive,"Bachelor's Degree","Business Administration",56,9503.38,10979.93
